ULTIMA ATUALIZACAO;05/12/2020 02:00
NUMERO_CONTRATO;UNIDADE_GESTORA;CONTRATADA;CNPJ;OBJETO;DATA_ASSINATURA;DATA_PUBLICACAO;INICIO_VIGENCIA;FIM_VIGENCIA;MODALIDADE;NUMERO_LICITACAO;PROCESSO
"TE-TD/20190017";"Senado Federal";"PAULIANY BARREIROS CARDOSO.";"799.653.502-72";"Termo de Cessão e Transferência de Direitos Autorais ao SENADO FEDERAL, por prazo indeterminado, das ilustrações de capa do livro intitulado ""Amapá a Francesa"", de propriedade da Senhora Pauliany Barreiros Cardoso - CPF: 799.653.502-72 - nos termos da Lei nº 9.610/1998.";"26/11/2019";"28/11/2019";"26/11/2019";"";"Não se Aplica";"";"200.018241/2019-77"
"TE-TCO/20190004";"Senado Federal";"POLÍCIA CÍVIL DO ESTADO DE MINAS GERAIS - PCMG.";"18.715.532/0001-70";"Estabelecer a cooperação institucional entre o SENADO FEDERAL e a Polícia Cívil do Estado de Minas Gerais - PCMG - visando contribuir em análises concernentes às atividades legislativas no campo da investigação criminal e da polícia judiciária, de modo a oferecer o auxílio necessário ao exercício de mandato eletivo de parlamentares do Congresso Nacional - CN.";"01/07/2019";"16/07/2019";"01/07/2019";"31/12/2022";"Não se Aplica";"";"200.012317/2019-51"
"TE-TCO/20190004";"Senado Federal";"POLÍCIA CÍVIL DO ESTADO DE MINAS GERAIS - PCMG.";"18.715.532/0001-70";"Estabelecer a cooperação institucional entre o SENADO FEDERAL e a Polícia Cívil do Estado de Minas Gerais - PCMG - visando contribuir em análises concernentes às atividades legislativas no campo da investigação criminal e da polícia judiciária, de modo a oferecer o auxílio necessário ao exercício de mandato eletivo de parlamentares do Congresso Nacional - CN.";"01/07/2019";"16/07/2019";"01/07/2019";"31/12/2022";"Não se Aplica";"";"200.012317/2019-51"
"CN-AC/20190006";"Senado Federal";"PREFEITURA MUNICIPAL DE TERESINA - PI.";"06.554.869/0001-64";"Estabelecer parcerias entre o SENADO FEDERAL e a Prefeitura Municipal de Teresina - PI - visando estimular e promover o intercâmbio e desenvolvimento de projetos, estudos e pesquisas sobre temas de interesse mútuo.";"05/08/2019";"08/08/2019";"05/08/2019";"04/08/2024";"Não se Aplica";"";"200.009669/2019-29"
"TE-TD/20190003";"Senado Federal";"PRESIDÊNCIA DA REPÚBLICA DO BRASIL - PR.";"00.394.411/0001-00";"Termo de Cessão de Uso de Bens Móveis, sem encargo de qualquer natureza, que o SENADO FEDERAL como CEDENTE, transfere em caráter definitivo à Presidência da República do Brasil - PR - como CESSIONÁRIO, a posse e a responsabilidade que exercia sobre os bens móveis discriminados no Anexo Único do presente Termo de Cessão de Uso.";"07/06/2019";"11/06/2019";"07/06/2019";"";"Não se Aplica";"";"200.017989/2018-71"
"CT-CT/20190038";"Senado Federal";"REDCREEK ENGENHARIA EM TELECOMUNICAÇÃO EIRELI - ME.";"24.717.318/0001-56";"Contratação de empresa especializada para a prestação de serviços de manutenção preventiva trimestral programada e de manutenção corretiva por demanda, com o fornecimento de peças novas e originais, para os transmissores da Rádio SENADO FM, instalados na cidade de Brasília - DF, durante o período de 12 (doze) meses consecutivos.";"31/05/2019";"03/06/2019";"31/05/2019";"30/05/2021";"Pregão Eletrônico";"0000372019";"200.011614/2018-06"
"CT-CT/20190060";"Senado Federal";"REDCREEK ENGENHARIA EM TELECOMUNICAÇÃO EIRELI - ME.";"24.717.318/0001-56";"Contratação de empresa especializada para a prestação de serviços de manutenção preventiva trimestral programada e de manutenção corretiva estimada por demanda, com fornecimento de peças novas e originais, para os equipamentos transmissores da TV SENADO, instalados na cidade de Brasília - DF, durante o período de 12 (doze) meses consecutivos.";"06/09/2019";"09/09/2019";"06/09/2019";"05/09/2021";"Pregão Eletrônico";"0000622019";"200.005664/2019-27"
"CT-CT/20190087";"Senado Federal";"REFINITIV BRASIL SERVIÇOS ECONÔMICOS LTDA.";"29.508.686/0004-50";"Contratação de empresa exclusiva para o fornecimento de assinatura da Base de Dados EIKON, incluindo 01 (um) ponto de acesso - login e senha - para a Consultoria Legislativa do SENADO FEDERAL - CONLEG/SF - durante o período de 12 (doze) meses consecutivos.";"10/12/2019";"";"10/12/2019";"09/12/2020";"Inexigibilidade";"0000872019";"200.003550/2019-42"
"CT-CT/20190080";"Senado Federal";"R7 FACILITIES SERVIÇOS DE ENGENHARIA EIRELI.";"11.162.311/0001-73";"Contratação de empresa especializada para a prestação de serviços de operação de elevadores, abrangendo as categorias de ascensorista diurno, noturno e controlador de tráfego diurno, nas dependências dos Anexos I e II do SENADO FEDERAL, durante o período de 12 (doze) meses consecutivos.";"27/11/2019";"28/11/2019";"27/11/2019";"26/11/2021";"Pregão Eletrônico";"0000922019";"200.013019/2019-88"
"CT-CT/20190014";"Senado Federal";"SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO.";"33.683.111/0002-80";"Prestação de serviços de tecnologia da informação e gerenciamento de conexões à INFOVIA BRASÍLIA, necessários à consecução de suas atividades-fim, pelo Serviço Federal de Processamento de Dados - SERPRO - ao SENADO FEDERAL, durante o período de 12 (doze) meses consecutivos.";"06/02/2019";"";"06/02/2019";"05/02/2024";"Inexigibilidade";"0001212018";"200.011063/2018-72"
"CT-CT/20190051";"Senado Federal";"SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC - GASTRONOMIA.";"33.469.172/0022-92";"Contratação de empresa especializada para a prestação de serviços de buffet, em recepções oficiais e institucionais do SENADO FEDERAL, durante o período de 12 (doze) meses consecutivos.";"29/07/2019";"";"29/07/2019";"28/07/2021";"Inexigibilidade";"0000282019";"200.019613/2018-00"
"CS-CS/20190003";"Senado Federal";"SINDICATO DOS SERVIDORES DO PODER LEGISLATIVO FEDERAL E DO TRIBUNAL DE CONTAS DA UNIÃO - SINDILEGIS.";"03.656.493/0001-00";"Estabelecer a Cessão de Uso Onerosa entre o SENADO FEDERAL e o Sindicato dos Servidores do Poder Legislativo Federal e do Tribunal de Contas da União - SINDILEGIS - visando a utilização de espaço físico localizado no Térreo do Bloco 8 da Gráfica do Senado, com área de 12,64m², de um (01) ramal telefônico - 3798 - e de acesso ao parque computacional, com a utilização de computador próprio da entidade, durante o período de 60 (sessenta) meses consecutivos.";"30/09/2019";"02/10/2019";"30/09/2019";"29/09/2024";"Não se Aplica";"";"200.009244/2019-10"
"TE-TD/20190008";"Senado Federal";"SOCIEDADE CIVIL MEMORIAL JUSCELINO KUBITSCHECK.";"00.608.893/0001-52";"Termo de Cessão e Transferência de Direitos Autorais ao SENADO FEDERAL, por prazo indeterminado, da obra intitulada ""Memórias do Brasil, 1956, discursos de Juscelino Kubitscheck"" da Sociedade Civil Memorial Juscelino Kubitscheck.";"10/09/2019";"16/09/2019";"10/09/2019";"";"Não se Aplica";"";"200.014446/2019-83"
"TE-TA/20190001";"Senado Federal";"SUPERIOR TRIBUNAL DE JUSTIÇA - STJ";"00.488.478/0001-02";"Termo de Adesão do SENADO FEDERAL ao Acordo de Cooperação Técnica nº 15/2018, celebrado entre o Superior Tribunal de Justiça - STJ - e o Conselho da Justiça Federal - CJF - visando a participação no Consórcio BDJur - Rede de Bibliotecas Digitais Jurídicas.";"22/02/2019";"28/02/2019";"22/02/2019";"03/10/2023";"Não se Aplica";"";"200.018482/2018-35"
"CN-AC/20190026";"Senado Federal";"SUPERIOR TRIBUNAL DE JUSTIÇA - STJ";"00.488.478/0001-02";"Estabelecer a parceria entre o SENADO FEDERAL e o Superior Tribunal de Justiça - STJ - visando a utilização da licença de uso de software - código fonte - do Sistema ""Termo de Referência - ePro"" de propriedade do STJ, durante o período de 60 (sessenta) meses consecutivos.";"16/12/2019";"19/12/2019";"16/12/2019";"15/12/2024";"Não se Aplica";"";"200.017462/2019-28"
"CT-CT/20190077";"Senado Federal";"SYNAPSE PRODUÇÕES LTDA.";"40.271.140/0001-19";"Licenciamento dos direitos de exibição de 1.948 (um mil, novecentos e quarenta e oito) minutos de conteúdo de documentários de alta qualidade estética e técnica, para utilização de exibição pela Secretaria da TV SENADO - STVSEN - durante o período de 24 (vinte e quatro) meses consecutivos.";"06/11/2019";"";"06/11/2019";"05/11/2021";"Inexigibilidade";"0000232019";"200.000106/2019-75"
"CT-CT/20190070";"Senado Federal";"TELEMÁTICA SISTEMAS INTELIGENTES LTDA.";"44.772.937/0001-50";"Contratação de empresa especializada para o fornecimento e instalação de equipamentos eletrônicos que compõe uma Solução de Controle de Acesso de Veículos, compreendendo softwares, readequação de estruturas físicas, treinamento operacional, operação assistida e a prestação de suporte técnico durante o período de 56 (cinquenta e seis) meses consecutivos, para a Secretaria de Polícia do Senado Federal - SPOL/SF.";"04/10/2019";"08/10/2019";"04/10/2019";"03/06/2024";"Pregão Eletrônico";"0000502019";"200.008122/2018-25"
"TE-TED/20190010";"Senado Federal";"TRIBUNAL DE CONTAS DA UNIÃO - TCU.";"00.414.607/0001-18";"Estabelecer as medidas administrativas necessárias que possibilitem o ressarcimento das despesas relativas à manutenção e conservação dos imóveis funcionais na SQS 309, na cidade de Brasília - DF, pertencentes à reserva técnica do SENADO FEDERAL e ocupados pelo Tribunal de Contas da União - TCU.";"11/11/2019";"13/11/2019";"11/11/2019";"10/11/2021";"Não se Aplica";"";"200.012980/2019-55"
"TE-TED/20190010";"Senado Federal";"TRIBUNAL DE CONTAS DA UNIÃO - TCU.";"00.414.607/0001-18";"Estabelecer as medidas administrativas necessárias que possibilitem o ressarcimento das despesas relativas à manutenção e conservação dos imóveis funcionais na SQS 309, na cidade de Brasília - DF, pertencentes à reserva técnica do SENADO FEDERAL e ocupados pelo Tribunal de Contas da União - TCU.";"11/11/2019";"13/11/2019";"11/11/2019";"10/11/2021";"Não se Aplica";"";"200.012980/2019-55"
"CN-CN/20190018";"Senado Federal";"TRIBUNAL DE CONTAS DO DISTRITO FEDERAL - TC-DF.";"00.534.560/0001-26";"Disponibilizar à Biblioteca do Tribunal de Contas do Distrito Federal - TC-DF - o Sistema de Gerenciamento da Informação da Rede Virtual de Bibliotecas do Senado Federal - RVBI - possibilitando a alimentação e atualização das bases de dados bibliográficos e administrativos, com informações de sua biblioteca, mediante utilização de equipamentos de processamento de dados de propriedade do Tribunal de Contas do Distrito Federal, ligados ao Sistema Central da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/PRODASEN - localizado na cidade de Brasília - DF.";"14/11/2019";"26/11/2019";"14/11/2019";"13/11/2021";"Não se Aplica";"";"200.008254/2019-38"
"PI-PI/20190001";"Senado Federal";"TRIBUNAL DE CONTAS DO ESTADO DO RIO GRANDE DO SUL - TCE-RS.";"89.550.032/0001-74";"Estabelecer a cooperação técnico-científica, cultural e o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades complementares de interesses comuns entre o SENADO FEDERAL/ILB e o Tribunal de Contas do Estado do Rio Grande do Sul - TCE-RS.";"04/07/2019";"09/07/2019";"09/07/2019";"08/07/2024";"Não se Aplica";"";"200.016558/2018-98"
"CN-CN/20190009";"Senado Federal";"TRIBUNAL DE JUSTIÇA DO ESTADO DE PERNAMBUCO - TJPE.";"11.431.327/0001-34";"Estabelecer parceria entre o SENADO FEDERAL e o Tribunal de Justiça do Estado de Pernambuco - TJPE - visando o desenvolvimento de programas de cooperação técnica e administrativa, por meio de ações articuladas e intercomplementares, de modo a propiciar maior integração de atividades de interesse comum dos partícipes, assim como formalizar a cooperação e a ação conjunta, relativamente à cessão recíproca de pessoal especializado e de apoio técnico e administrativo, durante o período de 24 (vinte e quatro) meses consecutivos.";"29/08/2019";"02/09/2019";"29/08/2019";"28/08/2021";"Não se Aplica";"";"200.015811/2017-13"
"CN-CN/20190009";"Senado Federal";"TRIBUNAL DE JUSTIÇA DO ESTADO DE PERNAMBUCO - TJPE.";"11.431.327/0001-34";"Estabelecer parceria entre o SENADO FEDERAL e o Tribunal de Justiça do Estado de Pernambuco - TJPE - visando o desenvolvimento de programas de cooperação técnica e administrativa, por meio de ações articuladas e intercomplementares, de modo a propiciar maior integração de atividades de interesse comum dos partícipes, assim como formalizar a cooperação e a ação conjunta, relativamente à cessão recíproca de pessoal especializado e de apoio técnico e administrativo, durante o período de 24 (vinte e quatro) meses consecutivos.";"29/08/2019";"02/09/2019";"29/08/2019";"28/08/2021";"Não se Aplica";"";"200.015811/2017-13"
"CN-AC/20190007";"Senado Federal";"TRIBUNAL REGIONAL DO TRABALHO DA   1ª REGIÃO - TRT.";"02.578.421/0001-20";"Cooperação dos partícipes na integração e atualização de informações de bases de dados da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/SF - e o Tribunal Regional do Trabalho da 1ª Região - TRT, no Portal LexML Brasil, rede de informações jurídicas e legislativas com a finalidade de unificar, organizar e facilitar o acesso às informações descritivas de legislação, jurisprudência, doutrina e proposições legislativas de órgãos da administração pública federal, estadual e municipal.";"19/08/2019";"21/08/2019";"21/08/2019";"20/08/2024";"Não se Aplica";"";"200.011610/2018-10"
"TE-TED/20190016";"Senado Federal";"TRIBUNAL SUPERIOR DO TRABALHO - TST";"00.509.968/0001-48";"Estabelecer as medidas administrativas necessárias que possibilitem o ressarcimento das despesas relativas à manutenção e conservação do imóvel funcional na SQS 316, na cidade de Brasília - DF, pertencente à reserva técnica do SENADO FEDERAL e ocupado pelo Tribunal Superior do Trabalho - TST.";"21/11/2019";"22/11/2019";"21/11/2019";"20/11/2021";"Não se Aplica";"";"200.012980/2019-55"
"TE-TED/20190016";"Senado Federal";"TRIBUNAL SUPERIOR DO TRABALHO - TST";"00.509.968/0001-48";"Estabelecer as medidas administrativas necessárias que possibilitem o ressarcimento das despesas relativas à manutenção e conservação do imóvel funcional na SQS 316, na cidade de Brasília - DF, pertencente à reserva técnica do SENADO FEDERAL e ocupado pelo Tribunal Superior do Trabalho - TST.";"21/11/2019";"22/11/2019";"21/11/2019";"20/11/2021";"Não se Aplica";"";"200.012980/2019-55"
"CT-CT/20190072";"Senado Federal";"TSDA COMUNICAÇÕES LTDA.";"08.085.968/0001-70";"Contratação de empresa especializada para a prestação de serviços de telemetria, monitoramento e controle remoto dos Sistemas de Transmissão da Rede TV SENADO e da Rádio Senado FM, instaladas nas localidades de Aracaju/SE; Belém/PA; Boa Vista/RR; Brasília/DF; Campo Grande/MS; Cuiabá/MT; Curitiba/PR; Fortaleza/CE; Gama/DF; João Pessoa/PB; Juazeiro do Norte/CE; Macapá/AP; Maceió/AL; Manaus/AM; Natal/RN; Porto Velho/RO; Rio Branco/AC; Rio de Janeiro/RJ; São Luís/MA e Teresina/PI, incluindo a implementação de solução, fornecimento de equipamentos eletrônicos em regime de comodato e de treinamento operacional, durante o período de 12 (doze) meses consecutivos.";"21/10/2019";"23/10/2919";"21/10/2019";"20/10/2021";"Pregão Eletrônico";"0000862019";"200.006448/2019-07"
"TE-TA/20190027";"Senado Federal";"UNIÃO NACIONAL DOS LEGISLATIVOS ESTADUAIS - UNALE.";"00.627.992/0001-81";"TERMO DE COMPROMISSO COMO COLABORADOR DA REDE NACIONAL DE SUSTENTABILIDADE NO LEGISLATIVO, PARA INTERCÂMBIO DE PRÁTICAS E DESENVOLVIMENTO DE AÇÕES VOLTADAS À GESTÃO SUSTENTÁVEL DO LEGISLATIVO EM ÂMBITO NACIONAL.";"05/11/2019";"07/11/2019";"07/11/2019";"08/11/2023";"Não se Aplica";"";"200.008697/2018-48"
"CN-CN/20190002";"Senado Federal";"UNIVERSIDADE CATÓLICA DE BRASÍLIA - UCB.";"00.331.801/0004-82";"Proporcionar aos estudantes regularmente matriculados na Universidade Católica de Brasília - UCB - e com frequência efetiva nos respectivos cursos de graduação a oportunidade de realização de estágio remunerado no SENADO FEDERAL.";"09/05/2019";"13/05/2019";"09/05/2019";"08/05/2024";"Não se Aplica";"";"200.019707/2018-71"
"CN-CN/20190002";"Senado Federal";"UNIVERSIDADE CATÓLICA DE BRASÍLIA - UCB.";"00.331.801/0004-82";"Proporcionar aos estudantes regularmente matriculados na Universidade Católica de Brasília - UCB - e com frequência efetiva nos respectivos cursos de graduação a oportunidade de realização de estágio remunerado no SENADO FEDERAL.";"09/05/2019";"13/05/2019";"09/05/2019";"08/05/2024";"Não se Aplica";"";"200.019707/2018-71"
"TE-TD/20190001";"Senado Federal";"UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE.";"24.134.488/0001-08";"Termo de Doação pura, simples, gratuito e sem encargo de qualquer natureza que o SENADO FEDERAL, como DOADOR, transfere em caráter irrevogável a Universidade Federal de Pernambuco - UFPE - como DONATÁRIO, toda posse, ação e domínio que exercia sobre os bens móveis discriminados no Anexo Único do presente Termo de Doação.";"25/02/2019";"26/02/2019";"25/02/2019";"";"Não se Aplica";"";"200.014399/2018-97"
"TE-TD/20190001";"Senado Federal";"UNIVERSIDADE FEDERAL DE PERNAMBUCO - UFPE.";"24.134.488/0001-08";"Termo de Doação pura, simples, gratuito e sem encargo de qualquer natureza que o SENADO FEDERAL, como DOADOR, transfere em caráter irrevogável a Universidade Federal de Pernambuco - UFPE - como DONATÁRIO, toda posse, ação e domínio que exercia sobre os bens móveis discriminados no Anexo Único do presente Termo de Doação.";"25/02/2019";"26/02/2019";"25/02/2019";"";"Não se Aplica";"";"200.014399/2018-97"
"CN-CN/20190015";"Senado Federal";"UNYEAD EDUCACIONAL S.A - FACULDADE UNYLEYA.";"24.531.339/0001-82";"Proporcionar aos estudantes regularmente matriculados e com frequência efetiva nos respectivos cursos de graduação da Unyead Educacional S.A - mantenedora da Faculdade Unyleya, a oportunidade de realização de estágio remunerado no SENADO FEDERAL.";"30/10/2019";"01/11/2019";"30/10/2019";"29/10/2024";"Não se Aplica";"";"200.009165/2019-17"
"TE-TD/20190009";"Senado Federal";"WANJA MEYRE SOARES DE CARVALHO";"199.622.661-49";"Termo de Cessão e Transferência de Direitos Autorais ao SENADO FEDERAL, por prazo indeterminado, das ilustrações de capa do livro intitulado ""O que é Justiça - Uma Abordagem Dialética"", de propriedade da Senhora Wanja Meyre Soares de Carvalho - CPF: 199.622.661-49 - nos termos da Lei nº 9.610/1998.";"07/11/2019";"13/11/2019";"07/11/2019";"";"Não se Aplica";"";"200.017639/2019-96"
"CT-CT/20190041";"Senado Federal";"3D PROJETOS E ASSESSORIA EM INFORMÁTICA LTDA.";"07.766.048/0001-54";"Contratação de empresa especializada para o fornecimento de monitores avançados de vídeo de 23 polegadas, no mínimo, incluindo a garantia de fábrica durante o período de 24 (vinte e quatro) meses consecutivos, para utilização pela Secretaria de Comunicação Social do SENADO FEDERAL - SECOM/SF.";"22/05/2019";"27/06/2019";"22/05/2019";"02/07/2021";"Pregão Eletrônico";"0000062019";"200.011111/2017-41"
"CT-CT/20190075";"Senado Federal";"3D PROJETOS E ASSESSORIA EM INFORMÁTICA LTDA.";"07.766.048/0001-54";"Contratação de empresa especializada para o fornecimento de 130 (cento e trinta) microcomputadores, do tipo notebook, incluindo a garantia oferecida pelo fabricante de pelo menos 36 (trinta e seis) meses consecutivos, para o SENADO FEDERAL.";"08/11/2019";"12/11/2019";"08/11/2019";"15/12/2022";"Pregão Eletrônico";"0000882019";"200.013610/2018-54"
"CT-CT/20190058";"Senado Federal";"3EX COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA";"09.546.976/0001-39";"Contratação de empresa especializada para a prestação de serviços de impressão colorida e em preto e branco, em grandes e pequenos formatos - Plotter - mediante a disponibilização/locação de equipamento de impressão, incluindo o fornecimento de componentes, peças, suprimentos (exceto mídia) e materiais necessários, prestação de manutenção preventiva e corretiva, com a realização de treinamento operacional, para a Secretaria de Editoração e Publicações do SENADO FEDERAL - SEGRAF/SF - durante o período de 48 (quarenta e oito) meses consecutivos.";"12/08/2019";"30/08/2019";"12/08/2019";"11/08/2023";"Pregão Eletrônico";"0000642019";"200.007208/2019-11"
"CN-CN/20200034";"Senado Federal";"AÇÃO EDUCACIONAL CLARETIANA - CENTRO UNIVERSITÁRIO CLARETIANO - CEUCLAR.";"44.943.835/0001-50";"Proporcionar aos estudantes regularmente matriculados e com frequência efetiva nos respectivos cursos de graduação do Centro Universitário Claretiano - CEUCLAR - mantido pela Ação Educacional Claretiana, a oportunidade de realização de estágio remunerado no SENADO FEDERAL.";"24/09/2020";"28/09/2020";"24/09/2020";"23/09/2025";"Não se Aplica";"";"200.000714/2020-13"
"TE-TCR/20200152";"Senado Federal";"ACP - ANÁLISE CLÍNICA DE PSICOLOGIA LTDA.";"20.123.382/0001-58";"Credenciamento da empresa ACP - Análise Clínica de Psicologia Ltda especializada na prestação de serviços técnicos de saúde, para o atendimento médico-hospitalar nas especialidades da credenciada e descritas em seu contrato social, aos servidores, parlamentares, ex-parlamentares e seus dependentes do SENADO FEDERAL, incluindo os beneficiários inscritos no Sistema Integrado de Saúde do Senado Federal - SIS.";"23/10/2020";"27/10/2020";"23/10/2020";"16/12/2024";"Não se Aplica";"";"200.010842/2020-75"
"TE-TCR/20200099";"Senado Federal";"ADF - CENTRO DE REABILITAÇÃO, IMPLANTE E ESTÉTICA BUCAL S/S LTDA.";"06.092.065/0001-90";"Credenciamento da empresa ADF - Centro de Reabilitação, Implante e Estética Bucal S/S Ltda especializada na prestação de serviços técnicos de saúde, para o atendimento médico-hospitalar nas especialidades da credenciada e descritas em seu contrato social, aos servidores, parlamentares, ex-parlamentares e seus dependentes do SENADO FEDERAL, incluindo os beneficiários inscritos no Sistema Integrado de Saúde do Senado Federal - SIS.";"07/08/2020";"11/08/2020";"07/08/2020";"16/12/2024";"Não se Aplica";"";"200.007875/2020-38"
"CT-CT/20200112";"Senado Federal";"AGFA GEVAERT DO BRASIL LTDA.";"00.980.360/0002-88";"Contratação de empresa especializada para o fornecimento de chapas digitais térmicas negativas, sem processamento químico, e do produto auxiliar necessário, para utilização no Sistema de Impressão Offset instalado na Secretaria de Editoração e Publicações do SENADO FEDERAL - SEGRAF/SF - durante o período de 12 (doze) meses consecutivos.";"11/11/2020";"13/11/2020";"11/11/2020";"10/11/2021";"Acionamento de ARP";"0000382020";"200.010210/2020-10"
"TE-TCR/20200096";"Senado Federal";"ALIANÇA INSTITUTO DE ONCOLOGIA S.A.";"09.104.513/0001-17";"Credenciamento da empresa Aliança Instituto de Oncologia S.A especializada na prestação de serviços técnicos de saúde, para o atendimento médico-hospitalar nas especialidades da credenciada e descritas em seu contrato social, aos servidores, parlamentares, ex-parlamentares e seus dependentes do SENADO FEDERAL, incluindo os beneficiários inscritos no Sistema Integrado de Saúde do Senado Federal - SIS.";"29/07/2020";"31/07/2020";"29/07/2020";"16/12/2024";"Não se Aplica";"";"200.007754/2020-96"
"TE-TCR/20200075";"Senado Federal";"ALT - CLÍNICA DERMATOLÓGICA EIRELI.";"11.416.467/0001-33";"Credenciamento da empresa ALT - Clínica Dermatológica Eireli especializada na prestação de serviços técnicos de saúde, para o atendimento médico-hospitalar nas especialidades da credenciada e descritas em seu contrato social, aos servidores, parlamentares, ex-parlamentares e seus dependentes do SENADO FEDERAL, incluindo os beneficiários inscritos no Sistema Integrado de Saúde do Senado Federal - SIS.";"13/07/2020";"15/07/2020";"13/07/2020";"16/12/2024";"Não se Aplica";"";"200.006824/2020-99"
"CT-CT/20200110";"Senado Federal";"AMÉRICA TECNOLOGIA DE INFORMÁTICA E ELETRO-ELETRÔNICOS LTDA.";"06.926.223/0001-60";"Contratação de empresa especializada para a prestação de serviços assistência técnica e de suporte presenciais para 02 (duas) fitotecas automatizadas da marca Quantum Scalar i6000, de propriedade do SENADO FEDERAL, durante o período de 12 (doze) meses consecutivos.";"30/09/2020";"05/10/2020";"30/09/2020";"29/09/2021";"Pregão Eletrônico";"0000752020";"200.016388/2019-22"
"CT-CT/20200136";"Senado Federal";"AMÉRICA TECNOLOGIA DE INFORMÁTICA E ELETRO-ELETRÔNICOS LTDA.";"06.926.223/0001-60";"Prestação de serviços de manutenção corretiva, atualização de firmware e drivers e de movimentação de componentes de equipamentos, com fornecimento de peças novas e originais, incluindo suporte técnico dos subsistemas de armazenamento de dados – Storage – Hitachi – Switches de comunicação Fibre Chanel Brocade de propriedade do Senado Federal.(Itens 1 a 10).";"23/11/2020";"25/11/2020";"23/11/2020";"22/11/2021";"Pregão Eletrônico";"0001092020";"200.009633/2019-45"
"TE-TCR/20200142";"Senado Federal";"ANA LUISA SILVA IUNES (COBOGÓ PSICOLOGIA)";"17.252.828/0001-30";"Credenciamento da empresa Ana Luisa Silva Iunes (Gobogó Psicologia) especializada na prestação de serviços técnicos de saúde, para o atendimento médico-hospitalar nas especialidades da credenciada e descritas em seu contrato social, aos servidores, parlamentares, ex-parlamentares e seus dependentes do SENADO FEDERAL, incluindo os beneficiários inscritos no Sistema Integrado de Saúde do Senado Federal - SIS.";"03/11/2020";"06/11/2020";"03/11/2020";"16/12/2024";"Não se Aplica";"";"200.008597/2020-36"
"TE-TD/20200154";"Senado Federal";"ANDREA TELO DA CORTE";"969.359.527-00";"Termo de Cessão e Transferência de Direitos Autorais ao SENADO FEDERAL, por prazo indeterminado, do livro intitulado ""Vasconcelos Torres - O Senador do povo e os desafios do seu tempo"", de propriedade da Senhora Andrea Telo da Corte - CPF: 969.359.527-00 - e dos Intervenientes Anuentes descritos no caput da presente avença, nos termos da Lei nº 9.610/1998.";"16/11/2020";"17/11/2020";"16/11/2020";"";"Não se Aplica";"";"200.011691/2020-72"
"TE-TD/20200154";"Senado Federal";"ANDREA TELO DA CORTE";"969.359.527-00";"Termo de Cessão e Transferência de Direitos Autorais ao SENADO FEDERAL, por prazo indeterminado, do livro intitulado ""Vasconcelos Torres - O Senador do povo e os desafios do seu tempo"", de propriedade da Senhora Andrea Telo da Corte - CPF: 969.359.527-00 - e dos Intervenientes Anuentes descritos no caput da presente avença, nos termos da Lei nº 9.610/1998.";"16/11/2020";"17/11/2020";"16/11/2020";"";"Não se Aplica";"";"200.011691/2020-72"
"CT-CT/20200078";"Senado Federal";"APECÊ - SERVIÇOS GERAIS LTDA.";"00.087.163/0001-53";"Contratação de empresa especializada para a prestação de serviços continuados de manutenção, conservação e implantação dos jardins internos e externos, áreas não urbanizadas, vasos de plantas e atividades de manejo no viveiro do Senado Federal, incluindo o fornecimento de insumos/materiais, equipamentos, ferramentas e mão de obra, para a Secretaria de Patrimônio do SENADO FEDERAL, durante o período de 12 (doze) meses consecutivos.";"13/07/2020";"14/07/2020";"13/07/2020";"12/07/2021";"Pregão Eletrônico";"0000372020";"200.003903/2019-12"
"TE-TCR/20200155";"Senado Federal";"ARTEODONTO ESPECIALIDADES ODONTOLÓGICAS LTDA.";"08.740.347/0001-82";"Credenciamento da empresa ArteOdonto Especialidades Odontológicas Ltda especializada na prestação de serviços técnicos de saúde, para o atendimento médico-hospitalar nas especialidades da credenciada e descritas em seu contrato social, aos servidores, parlamentares, ex-parlamentares e seus dependentes do SENADO FEDERAL, incluindo os beneficiários inscritos no Sistema Integrado de Saúde do Senado Federal - SIS.";"16/11/2020";"17/11/2020";"16/11/2020";"16/12/2024";"Não se Aplica";"";"200.010757/2020-15"
"CT-CT/20200076";"Senado Federal";"ASG DO BRASIL TECNOLOGIA DA INFORMAÇÃO LTDA";"04.010.181/0001-98";"Contratação de empresa especializada para a prestação de serviços de suporte técnico, com atualização de versão, para os produtos ASG-Zena adquiridos pelo SENADO FEDERAL, durante o período de 12 (doze) meses consecutivos.";"01/07/2020";"";"01/07/2020";"30/06/2021";"Inexigibilidade";"0000192020";"200.006037/2019-11"
